task_id,line_coverage
HumanEval/0,100.0
HumanEval/1,100.0
HumanEval/2,100.0
HumanEval/3,100.0
HumanEval/4,100.0
HumanEval/5,100.0
HumanEval/6,100.0
HumanEval/7,100.0
HumanEval/8,100.0
HumanEval/9,100.0
HumanEval/10,65.0
HumanEval/11,100.0
HumanEval/12,95.23809523809524
HumanEval/13,100.0
HumanEval/14,100.0
HumanEval/15,100.0
HumanEval/16,100.0
HumanEval/17,100.0
HumanEval/18,100.0
HumanEval/19,100.0
HumanEval/20,100.0
HumanEval/21,100.0
HumanEval/22,100.0
HumanEval/23,100.0
HumanEval/24,94.11764705882354
HumanEval/25,100.0
HumanEval/26,100.0
HumanEval/27,100.0
HumanEval/28,100.0
HumanEval/29,100.0
HumanEval/30,100.0
HumanEval/31,100.0
HumanEval/32,52.38095238095238
HumanEval/33,100.0
HumanEval/34,100.0
HumanEval/35,100.0
HumanEval/36,100.0
HumanEval/37,100.0
HumanEval/38,86.66666666666667
HumanEval/39,100.0
HumanEval/40,100.0
HumanEval/41,100.0
HumanEval/42,100.0
HumanEval/43,100.0
HumanEval/44,100.0
HumanEval/45,100.0
HumanEval/46,90.0
HumanEval/47,100.0
HumanEval/48,100.0
HumanEval/49,100.0
HumanEval/50,93.75
HumanEval/51,100.0
HumanEval/52,100.0
HumanEval/53,100.0
HumanEval/54,100.0
HumanEval/55,100.0
HumanEval/56,100.0
HumanEval/57,100.0
HumanEval/58,100.0
HumanEval/59,93.75
HumanEval/60,100.0
HumanEval/61,100.0
HumanEval/62,100.0
HumanEval/63,100.0
HumanEval/64,100.0
HumanEval/65,100.0
HumanEval/66,100.0
HumanEval/67,100.0
HumanEval/68,100.0
HumanEval/69,100.0
HumanEval/70,100.0
HumanEval/71,100.0
HumanEval/72,100.0
HumanEval/73,100.0
HumanEval/74,100.0
HumanEval/75,100.0
HumanEval/76,100.0
HumanEval/77,100.0
HumanEval/78,100.0
HumanEval/79,100.0
HumanEval/80,100.0
HumanEval/81,90.76923076923077
HumanEval/82,100.0
HumanEval/83,100.0
HumanEval/84,100.0
HumanEval/85,100.0
HumanEval/86,100.0
HumanEval/87,100.0
HumanEval/88,100.0
HumanEval/89,91.30434782608695
HumanEval/90,100.0
HumanEval/91,100.0
HumanEval/92,100.0
HumanEval/93,100.0
HumanEval/94,100.0
HumanEval/95,97.67441860465117
HumanEval/96,100.0
HumanEval/97,100.0
HumanEval/98,100.0
HumanEval/99,87.5
HumanEval/100,100.0
HumanEval/101,100.0
HumanEval/102,100.0
HumanEval/103,100.0
HumanEval/104,100.0
HumanEval/105,100.0
HumanEval/106,100.0
HumanEval/107,100.0
HumanEval/108,100.0
HumanEval/109,100.0
HumanEval/110,100.0
HumanEval/111,100.0
HumanEval/112,100.0
HumanEval/113,100.0
HumanEval/114,100.0
HumanEval/115,58.333333333333336
HumanEval/116,100.0
HumanEval/117,100.0
HumanEval/118,100.0
HumanEval/119,100.0
HumanEval/120,100.0
HumanEval/121,100.0
HumanEval/122,100.0
HumanEval/123,100.0
HumanEval/124,95.34883720930233
HumanEval/125,100.0
HumanEval/126,100.0
HumanEval/127,75.67567567567568
HumanEval/128,100.0
HumanEval/129,100.0
HumanEval/130,100.0
HumanEval/131,100.0
HumanEval/132,100.0
HumanEval/133,100.0
HumanEval/134,100.0
HumanEval/135,100.0
HumanEval/136,100.0
HumanEval/137,100.0
HumanEval/138,100.0
HumanEval/139,100.0
HumanEval/140,94.87179487179488
HumanEval/141,100.0
HumanEval/142,100.0
HumanEval/143,100.0
HumanEval/144,100.0
HumanEval/145,100.0
HumanEval/146,100.0
HumanEval/147,100.0
HumanEval/148,100.0
HumanEval/149,100.0
HumanEval/150,100.0
HumanEval/151,100.0
HumanEval/152,100.0
HumanEval/153,100.0
HumanEval/154,100.0
HumanEval/155,100.0
HumanEval/156,100.0
HumanEval/157,100.0
HumanEval/158,100.0
HumanEval/159,100.0
HumanEval/160,100.0
HumanEval/161,100.0
HumanEval/162,100.0
HumanEval/163,100.0
